学校名称,年份,专业,最低排名,最低分,最高分,平均分
北京理工大学,2017,电子信息类,7210,585,605,599
北京理工大学,2017,计算机类,7210,586,609,596
北京理工大学,2017,电子信息类（实验班）,3547,609,611,--
北京理工大学,2017,自动化类,6099,591,602,599
北京科技大学,2015,自动化,--,625,626,626
北京科技大学,2015,计算机科学与技术,--,629,630,630
北京科技大学,2016,计算机科学与技术,10783,587,587,587
北京科技大学,2016,自动化,12480,582,582,582
北京科技大学,2017,自动化类,13059,565,579,568
北京科技大学,2017,计算机类,13059,565,574,571
北京科技大学,2018,自动化类,13716,585.00,590.00,--
北京科技大学,2018,计算机类,11957,590.00,596.00,--
南京工程学院,2016,计算机科学与技术,--,--,--,501
南京工程学院,2017,计算机科学与技术,--,483,--,--
江苏理工学院,2018,软件工程（嵌入式培养）,91530,478.00,481.00,479.50
南京审计大学,2016,软件工程,--,--,--,512
盐城工学院,2017,电子信息类,123239,434,--,--
盐城工学院,2017,计算机类,123239,434,--,--
常州大学,2016,计算机科学与技术,--,--,--,497
常州大学,2017,计算机科学与技术,--,--,--,497
华东交通大学,2015,自动化,--,578,622,588
华东交通大学,2016,自动化,--,--,--,518
华东交通大学,2017,计算机科学与技术,60623,492,492,492
杭州电子科技大学,2015,电子信息类,--,579,586,582
杭州电子科技大学,2015,计算机科学与技术,--,585,585,585
杭州电子科技大学,2016,软件工程,--,--,--,550
杭州电子科技大学,2016,电子信息类（中外合作办学）,--,--,--,542
杭州电子科技大学,2016,电子信息类,--,--,--,544
杭州电子科技大学,2017,电子信息类（含电子信息工程、电子科学与技术、集成电路设计与集成系统、电子信息科学与技术、光电信息科学与工程（光电工程））,--,531,--,--
杭州电子科技大学,2017,计算机类（含计算机科学与技术（与会计学复合）、计算机科学与技术、软件工程、物联网工程）,--,536,--,--
杭州电子科技大学,2018,电子信息类（含电子信息工程、电子科学与技术、集成电路设计与集成系统、电子信息科学与技术、光电信息科学与工程（光电工程）专业）,--,562.00,--,--
杭州电子科技大学,2018,计算机类（含计算机科学与技术（与会计学复合）、计算机科学与技术、软件工程专业）,--,568.00,--,--
南京邮电大学,2016,软件工程（嵌入式培养）,27117,552,560,556
南京邮电大学,2017,计算机科学与技术,19349,552,552,552
南京邮电大学,2017,软件工程（嵌入式培养）,19349,552,557,554
南京邮电大学,2017,软件工程（与NIIT合作嵌入式培养）,19349,554,556,555
南京邮电大学,2018,计算机科学与技术,20073,570.00,575.00,572.20
南京邮电大学,2018,软件工程,22021,566.00,575.00,570.30
南京邮电大学,2018,软件工程（嵌入式培养）,24076,562.00,562.00,562.00
江苏科技大学,2015,自动化,--,561,575,568
江苏科技大学,2015,计算机科学与技术,--,566,576,570
江苏科技大学,2016,计算机科学与技术,--,--,--,511
江苏科技大学,2017,自动化,33244,528,531,530
江苏科技大学,2017,软件工程,36545,521,525,523
江苏科技大学,2017,计算机科学与技术,33244,526,532,529
南京中医药大学,2017,计算机科学与技术（4年）,74935,476,--,--
南京中医药大学,2018,计算机类（计算机科学与技术、软件工程）（4
年）录取分数线,71085,499.00,--,--
苏州科技大学,2016,计算机科学与技术（嵌入式培养）,21481,561,561,561
南京财经大学,2016,计算机科学与技术,--,--,--,521
南京财经大学,2017,计算机科学与技术,--,493,--,--
南京财经大学,2018,计算机科学与技术,--,526.00,--,--
江西理工大学,2016,自动化,--,--,--,514
江西理工大学,2016,软件工程,--,--,--,494
江西理工大学,2017,软件工程（机械电子方向）,203229,360,--,--
江西理工大学,2017,软件工程（造价方向）,203229,360,--,--
南京信息工程大学,2015,计算机类,--,585,591,588
南京信息工程大学,2016,计算机类（中外合作办学）,--,--,--,537
南京信息工程大学,2017,计算机科学与技术（嵌入式培养）,40080,519,526,522
南京信息工程大学,2017,软件工程（嵌入式培养）,40080,516,520,517
南京信息工程大学,2018,电子信息类,33605,546.00,547.00,547.00
南京信息工程大学,2018,计算机类（中外合作办学）（软件工程）,49360,524.00,525.00,525.00
南京信息工程大学,2018,计算机类,31643,549.00,562.00,554.00
南京林业大学,2017,自动化,27096,539,--,--
南京林业大学,2017,计算机科学与技术,21739,549,--,--
南京林业大学,2018,自动化,55928,516.00,517.00,--
南京林业大学,2018,软件工程（嵌入式培养）,46325,528.00,532.00,--
江苏大学,2015,自动化,--,590,593,592
江苏大学,2015,软件工程,--,595,598,596
江苏大学,2016,计算机科学与技术,33655,544,548,546
江苏大学,2016,自动化,37185,539,540,540
江苏大学,2016,软件工程,33655,543,547,544
江苏大学,2017,计算机科学与技术,33244,526,532,529
江苏大学,2017,自动化,33244,528,531,530
江苏大学,2017,软件工程,36545,521,525,523
江苏大学,2018,计算机科学与技术,29773,552.00,553.00,552.50
江苏大学,2018,软件工程,30367,551.00,559.00,553.75
南京工业大学,2015,自动化,--,586,595,590
南京工业大学,2016,计算机科学与技术,27117,553,557,554
南京工业大学,2016,自动化,30264,546,546,546
南京工业大学,2017,计算机科学与技术,--,532,--,--
南京工业大学,2017,自动化,--,532,--,--
南京工业大学,2017,计算机科学与技术（嵌入式培养）,--,530,--,--
江西农业大学,2016,软件工程,--,--,--,482
江西农业大学,2017,软件工程,95539,457,457,457
江西农业大学,2018,软件工程,96754,472.90,472.90,472.90
江西师范大学,2015,电子信息类,--,559,574,566
江西师范大学,2015,计算机科学与技术,--,560,571,565
江西师范大学,2015,软件工程,--,557,562,559
江西师范大学,2016,软件工程,--,--,--,515
江西师范大学,2017,计算机科学与技术（师范）,51932,504,509,--
江西财经大学,2015,电子信息类,--,602,602,602
江西财经大学,2015,计算机类,--,601,603,602
江西财经大学,2017,计算机类（02含物联网工程）,36545,522,523,--
江西财经大学,2017,计算机类（01含计算机科学与技术（财经大数据管理））,36545,522,536,--
江西财经大学,2018,计算机类[01含计算机科学与技术（财经大数据管理）],33605,546.00,551.00,548.50
江西财经大学,2018,计算机类（02含物联网工程）,34245,545.00,546.00,545.50
江西财经大学,2018,计算机类（03含数据科学与大数据技术）,34245,545.00,554.00,549.50
东华理工大学,2015,电子信息类,--,545,548,546
东华理工大学,2015,软件工程,--,547,555,551
东华理工大学,2016,软件工程,--,--,--,490
东华理工大学,2016,电子信息类,--,--,--,489
东华理工大学,2017,自动化,85011,467,468,467
东华理工大学,2017,计算机科学与技术,70132,480,--,480
东华理工大学,2017,电子信息类（含电子信息工程、电子科学与技术专业）,85011,468,468,468
南昌航空大学,2015,自动化,--,558,573,564
南昌航空大学,2015,计算机科学与技术,--,562,568,565
南昌航空大学,2016,自动化,--,--,--,494
南昌航空大学,2017,自动化,--,474,--,--
南昌航空大学,2017,计算机科学与技术,--,476,--,--
重庆师范大学,2016,计算机科学与技术,90384,484,497,489
重庆师范大学,2017,计算机科学与技术,74935,475,483,479
重庆师范大学,2018,计算机科学与技术,68335,502.00,503.00,502.00
景德镇陶瓷大学,2016,计算机科学与技术（师范）,114461,464,--,--
景德镇陶瓷大学,2016,计算机网络技术,139592,444,--,--
景德镇陶瓷大学,2017,计算机科学与技术（数学与计算机科学学院）,111947,442,--,--
景德镇陶瓷大学,2017,软件技术（数学与计算机科学学院）,180990,383,--,--
景德镇陶瓷大学,2018,计算机科学与技术,122481,449.00,450.00,449.50
重庆邮电大学,2016,自动化与电气工程类,63502,509,516,512
重庆邮电大学,2016,计算机与智能科学类,58551,514,536,519
重庆邮电大学,2016,自动化类,--,--,--,512
重庆邮电大学,2016,计算机类,--,--,--,519
重庆邮电大学,2016,电子信息类,--,--,--,527
重庆邮电大学,2017,计算机与智能科学类,56217,497,515,505
重庆邮电大学,2017,自动化,65332,487,491,489
重庆邮电大学,2018,计算机与智能科学类,39018,538.00,575.00,547.00
重庆邮电大学,2018,自动化与电气工程类,48590,525.00,532.00,528.00
重庆理工大学,2015,计算机科学与技术,--,567,572,570
重庆理工大学,2015,软件工程,--,569,571,570
重庆理工大学,2016,软件工程,63502,506,506,506
重庆理工大学,2016,电子信息类,68533,500,501,500
重庆理工大学,2016,计算机类,63502,508,509,508
重庆理工大学,2017,计算机类,70132,481,484,482
重庆理工大学,2017,电子信息类,70132,481,482,481
重庆理工大学,2017,软件工程,70132,484,486,485
重庆理工大学,2018,电子信息类,62754,507.94,511.94,510.27
重庆理工大学,2018,计算机类,59317,511.94,511.94,511.94
重庆理工大学,2018,软件工程,63629,506.94,511.94,509.44
赣南师范大学,2015,软件工程,--,522,522,522
赣南师范大学,2015,计算机科学与技术,--,522,529,526
赣南师范大学,2016,软件工程,--,--,--,466
赣南师范大学,2016,计算机科学与技术,--,--,--,466
江西科技师范大学,2015,计算机科学与技术,--,520,531,527
江西科技师范大学,2016,计算机科学与技术（师范）,114461,464,465,--
江西科技师范大学,2017,软件技术（数学与计算机科学学院）,180990,383,383,--
江西科技师范大学,2017,计算机科学与技术（数学与计算机科学学院）,111947,442,446,--
江西科技师范大学,2018,计算机科学与技术（数学与计算机科学学院）,203722,376.00,470.00,--
宜春学院,2016,计算机科学与技术,--,--,--,466
宜春学院,2017,计算机科学与技术,106358,449,449,--
井冈山大学,2016,软件工程,--,--,--,463
井冈山大学,2017,计算机科学与技术,128923,428,444,436
井冈山大学,2018,计算机科学与技术,--,466.00,--,--
大连民族大学,2015,软件工程,--,527,569,542
大连民族大学,2016,软件工程,120658,459,476,468
大连民族大学,2017,软件工程,106358,445,452,448
大连民族大学,2018,软件工程,103098,467.00,470.00,468.00
沈阳航空航天大学,2018,计算机科学与技术,74864,495.00,--,--
大连工业大学,2015,自动化,--,542,--,--
大连工业大学,2016,自动化,102054,473,479,475
大连工业大学,2017,自动化,90122,461,461,461
大连工业大学,2018,自动化,83521,486.00,--,--
沈阳建筑大学,2017,计算机科学与技术,95539,455,455,455
沈阳建筑大学,2018,自动化,70165,500.00,--,--
沈阳建筑大学,2018,计算机科学与技术,14492,583.00,--,--
沈阳化工大学,2015,自动化,--,534,534,534
沈阳化工大学,2016,自动化,96149,478,478,478
沈阳化工大学,2018,软件工程,100974,469.00,469.00,469.00
沈阳化工大学,2018,计算机科学与技术,107424,463.00,463.00,463.00
大连外国语大学,2017,计算机科学与技术,56217,497,499,--
大连外国语大学,2018,计算机科学与技术,50969,522.00,523.00,--
沈阳理工大学,2016,自动化,84561,487,487,487
沈阳理工大学,2016,计算机科学与技术,84561,487,487,487
沈阳理工大学,2017,计算机科学与技术,85011,467,467,467
沈阳理工大学,2017,自动化,90122,461,461,461
沈阳理工大学,2018,计算机科学与技术,81550,488.00,488.00,488.00
大连大学,2018,软件工程,90491,479.00,523.00,490.00
大连交通大学,2015,软件工程,--,556,558,558
大连交通大学,2016,软件工程,--,--,--,490
大连交通大学,2017,软件工程,90122,462,473,466
沈阳师范大学,2016,软件工程,--,--,--,453
沈阳师范大学,2016,计算机科学与技术,--,--,--,464
辽宁科技大学,2016,软件工程,108205,468,468,468
辽宁科技大学,2017,软件工程,100935,453,453,453
辽宁科技大学,2018,软件工程,93626,476.00,--,--
辽宁石油化工大学,2016,计算机科学与技术,133142,447,447,447
辽宁石油化工大学,2017,计算机科学与技术,117655,436,436,436
辽宁石油化工大学,2018,计算机科学与技术,--,477.00,--,--
沈阳大学,2016,自动化类（中外合作办学）,--,--,--,466
沈阳大学,2017,自动化类（中外合作办学）（自动化）,111947,440,450,446
沈阳大学,2018,自动化（中外合作办学）,111770,458.89,463.89,460.56
沈阳工业大学,2015,自动化,--,566,570,568
沈阳工业大学,2015,计算机科学与技术,--,553,564,558
沈阳工业大学,2016,自动化,--,--,--,526
沈阳工业大学,2017,计算机科学与技术,65332,485,485,--
沈阳工业大学,2017,自动化,65332,486,--,--
沈阳工业大学,2018,自动化,93626,476.00,--,--
西南民族大学,2015,计算机科学与技术,--,540,546,542
西南民族大学,2016,软件工程,84561,486,489,487
西南民族大学,2016,计算机科学与技术,90384,482,492,487
西南民族大学,2017,自动化,85011,467,474,470
西南民族大学,2017,计算机科学与技术,85011,465,475,470
西南民族大学,2017,软件工程,85011,466,468,467
成都理工大学,2016,电子信息类,58551,512,522,515
成都理工大学,2017,计算机类,51932,504,--,511
成都理工大学,2017,电子信息类,51932,501,--,503
成都理工大学,2018,计算机类,42626,533.00,--,536.92
新疆农业大学,2016,计算机科学与技术,--,--,--,439
新疆师范大学,2015,软件工程,--,521,521,521
新疆师范大学,2016,软件工程,164753,420,430,429
新疆师范大学,2017,软件工程,128923,426,450,439
浙江师范大学,2016,软件工程,--,--,--,516
浙江师范大学,2017,计算机科学与技术,--,496,--,--
浙江师范大学,2017,软件工程（全英文班）,--,496,--,--
浙江理工大学,2015,电子信息类,--,584,596,591
浙江理工大学,2015,计算机科学与技术,--,587,596,593
浙江理工大学,2016,计算机类,--,--,--,539
浙江理工大学,2016,电子信息类,--,--,--,537
浙江理工大学,2017,电子信息类（含电子信息工程、通信工程、电子信息科学与技术）,--,517,--,--
浙江理工大学,2017,计算机类（含计算机科学与技术、数字媒体技术专业）,--,516,--,--
西华大学,2015,自动化,--,550,551,550
西华大学,2018,自动化,77680,491.92,497.93,494.92
浙江科技学院,2016,电子信息类,--,--,--,503
中国计量大学,2015,自动化,--,577,577,577
中国计量大学,2015,计算机科学与技术,--,576,576,576
中国计量大学,2016,计算机科学与技术,--,--,--,513
中国计量大学,2017,电子信息类（电子信息工程、通信工程、电子信息科学与技术）,--,492,--,--
中国计量大学,2017,自动化类（自动化、电气工程及其自动化）,--,496,--,--
中国计量大学,2017,计算机科学与技术,--,495,--,--
杭州师范大学,2018,计算机科学与技术,--,524.00,--,--
杭州师范大学,2018,软件工程,--,517.00,--,--
湖州师范学院,2018,电子信息类（含计算机科学与技术、电子信息工程、物联网工程、通信工程专业，具体专业分流情况请查看学校网站）,--,462.00,--,--
山西大学,2018,计算机科学与技术,32930,547.00,--,--
四川师范大学,2017,软件工程,65332,487,496,492
四川师范大学,2018,电子信息类,66431,504.00,511.00,508.50
四川师范大学,2018,计算机类,59317,512.00,523.00,514.50
中国民用航空飞行学院,2016,计算机科学与技术,--,--,--,513
中国民用航空飞行学院,2017,计算机科学与技术（不招色盲）,70132,480,--,--
西南石油大学,2015,自动化,--,563,565,564
西南石油大学,2015,软件工程,--,559,562,561
西南石油大学,2017,计算机科学与技术,65332,489,503,496
西南石油大学,2017,自动化,65332,485,485,485
西南石油大学,2018,计算机科学与技术,60188,511.00,514.00,512.50
西南石油大学,2018,软件工程,61921,509.00,515.00,512.00
西南石油大学,2018,自动化,64577,506.00,508.00,507.00
成都信息工程大学,2015,自动化,--,562,562,562
成都信息工程大学,2015,计算机科学与技术,--,564,574,569
成都信息工程大学,2015,软件工程,--,569,569,569
成都信息工程大学,2016,自动化,--,--,--,496
成都信息工程大学,2016,软件工程,--,--,--,503
成都信息工程大学,2017,软件工程,70132,483,486,485
成都信息工程大学,2017,自动化,74935,479,479,479
成都信息工程大学,2018,计算机科学与技术,58454,512.94,516.94,514.94
成都信息工程大学,2018,软件工程,61055,509.94,515.94,512.94
四川轻化工大学,2016,软件工程,--,--,--,507
山西财经大学,2015,计算机科学与技术,--,558,558,558
山西财经大学,2016,计算机科学与技术,--,--,--,496
山西财经大学,2017,计算机科学与技术,--,455,--,--
山西财经大学,2018,计算机科学与技术,85479,484.00,--,--
中北大学,2016,自动化,--,--,--,515
中北大学,2017,电子信息类（信息与通信）（含电子信息工程、通信工程、信息工程专业）,--,476,--,--
中北大学,2017,电子信息类（光电信息）（含光电信息科学与工程、电子信息科学与技术专业）,--,476,--,--
中北大学,2017,计算机类（含计算机科学与技术、网络工程、物联网工程、数字媒体技术专业）,--,476,--,--
中北大学,2017,电子信息类（含电子科学与技术、微电子科学与工程专业）,--,476,--,--
太原科技大学,2018,计算机科学与技术,103098,467.00,468.00,468.00
忻州师范学院,2015,计算机科学与技术,--,546,546,546
忻州师范学院,2016,计算机科学与技术,--,--,--,420
忻州师范学院,2017,计算机科学与技术,134711,420,420,420
忻州师范学院,2018,计算机科学与技术,135784,437.00,437.00,437.00
山西大同大学,2015,计算机科学与技术,--,540,540,540
山西大同大学,2016,计算机科学与技术,--,--,--,426
山西大同大学,2018,计算机科学与技术,128051,444.00,--,--
汕头大学,2015,计算机科学与技术（教育部卓越工程师班）,--,610,635,614
汕头大学,2016,计算机科学与技术（教育部卓越工程师班）,21481,562,579,567
汕头大学,2018,计算机科学与技术,25725,559.00,569.00,562.00
汕头大学,2018,计算机科学与技术（教育部卓越工程师班）,22535,565.00,592.00,570.80
深圳大学,2015,电子信息类,--,614,633,618
深圳大学,2018,计算机科学与技术,9451,598.00,611.00,601.00
深圳大学,2018,软件工程,10936,593.00,612.00,596.00
深圳大学,2018,自动化,15675,580.00,595.00,584.00
五邑大学,2015,计算机科学与技术,--,554,573,559
五邑大学,2015,自动化,--,557,572,561
五邑大学,2015,软件工程,--,562,574,567
五邑大学,2016,自动化,--,--,--,488
五邑大学,2016,软件工程,--,--,--,492
五邑大学,2017,计算机科学与技术,79870,472,486,477
五邑大学,2017,自动化,90122,464,490,469
五邑大学,2017,软件工程,79870,472,501,477
五邑大学,2018,自动化,88544,481.00,504.00,488.00
五邑大学,2018,计算机科学与技术,76739,493.00,511.00,497.00
五邑大学,2018,软件工程,75821,494.00,525.00,499.00
广东工业大学,2016,自动化,27117,554,580,561
广东工业大学,2017,软件工程（含卓越工程师班）,27096,537,568,544
广东工业大学,2018,自动化,31030,550.00,587.00,558.00
广东工业大学,2018,电子信息类（含信息工程、通信工程、电子信息工程、集成电路设计与集成系统）,38303,539.00,567.00,544.00
华南农业大学,2016,电子信息类,45093,528,572,534
华南农业大学,2017,自动化,40080,518,545,521
华南农业大学,2017,电子信息类,40080,519,540,523
华南农业大学,2017,软件工程（温氏阿里创新班）,24305,542,560,548
广东海洋大学,2016,自动化,73713,496,523,505
广东海洋大学,2017,软件工程,65332,485,510,491
广州中医药大学,2015,计算机科学与技术,--,577,592,579
广州中医药大学,2016,计算机科学与技术,53843,519,578,523
广州中医药大学,2017,计算机科学与技术,51932,500,526,506
广州中医药大学,2018,计算机科学与技术,--,514.00,--,--
广东外语外贸大学,2015,计算机类,--,609,--,--
东莞理工学院,2015,自动化,--,523,576,557
东莞理工学院,2015,计算机科学与技术,--,519,579,558
东莞理工学院,2015,软件工程,--,546,591,566
东莞理工学院,2016,自动化,--,--,--,492
东莞理工学院,2016,软件工程,--,--,--,520
东莞理工学院,2017,软件工程（中外合作办学）,85011,465,573,480
东莞理工学院,2017,自动化,74935,478,493,483
东莞理工学院,2018,自动化,65530,505.00,518.00,508.00
广东石油化工学院,2016,自动化,--,--,--,451
广州大学,2017,计算机科学与技术,51932,504,540,518
广东药科大学,2017,计算机科学与技术,85011,469,485,473
韩山师范学院,2016,软件工程,--,--,--,463
韩山师范学院,2018,软件工程,122481,449.00,470.00,454.47
韩山师范学院,2018,计算机科学与技术,123589,448.00,472.00,452.31
韩山师范学院,2018,计算机科学与技术（师范）,128051,444.00,459.00,448.69
韶关学院,2015,计算机科学与技术,--,536,557,539
韶关学院,2016,自动化,--,--,--,463
韶关学院,2017,计算机应用技术,203229,363,413,379
韶关学院,2017,自动化,123239,433,456,438
韶关学院,2018,自动化,122481,449.00,487.00,454.75
韶关学院,2018,计算机科学与技术,112851,458.00,486.00,463.77
韶关学院,2018,软件工程,111770,459.00,492.00,465.14
岭南师范学院,2015,计算机科学与技术,--,530,556,534
岭南师范学院,2016,计算机科学与技术,120658,457,482,465
惠州学院,2015,计算机科学与技术,--,546,565,552
惠州学院,2015,软件工程,--,550,574,555
惠州学院,2016,软件工程,--,--,--,488
惠州学院,2017,计算机科学与技术,90122,462,535,470
惠州学院,2018,计算机科学与技术,89500,480.00,509.00,487.28
惠州学院,2018,软件工程,94635,475.00,507.00,481.77
嘉应学院,2016,自动化,--,--,--,460
嘉应学院,2017,软件工程,117655,436,464,441
广东财经大学,2016,计算机科学与技术（创新实验班）,58551,510,603,535
广东财经大学,2018,软件工程,55084,517.00,535.00,521.00
广东财经大学,2018,计算机科学与技术,55928,516.00,526.00,519.00
佛山科学技术学院,2018,计算机科学与技术,65530,505.00,532.00,510.00
佛山科学技术学院,2018,计算机科学与技术（人工智能方向）,60188,511.00,529.00,514.00
上海理工大学,2015,电子信息类,--,606,613,611
上海理工大学,2015,自动化类,--,608,608,608
上海理工大学,2015,计算机类,--,608,611,610
上海理工大学,2016,自动化类,--,--,--,560
上海理工大学,2016,计算机类,--,--,--,560
上海理工大学,2016,电子信息类（中外合作办学）,--,--,--,558
上海理工大学,2016,电子信息类,--,--,--,566
上海理工大学,2017,电子信息类,--,546,--,--
上海理工大学,2017,自动化类,--,544,--,--
上海理工大学,2017,计算机类,--,544,--,--
上海理工大学,2017,电子信息类（电子信息科学与技术）（中外合作办学）,--,544,--,--
上海工程技术大学,2015,电子信息类,--,570,570,570
上海工程技术大学,2015,自动化类,--,569,569,569
上海工程技术大学,2016,自动化（汽车电子工程）（中美合作办学）,73713,499,513,506
上海工程技术大学,2016,自动化类（中外合作办学）,--,--,--,507
上海工程技术大学,2016,电子信息类（中外合作办学）,--,--,--,498
上海工程技术大学,2018,计算机科学与技术,55928,516.00,516.00,516.00
上海工程技术大学,2018,自动化,59317,512.00,512.00,512.00
上海海洋大学,2015,计算机科学与技术,--,577,614,583
上海海洋大学,2016,软件工程,53843,516,523,521
上海海洋大学,2017,软件工程,51932,503,513,506
上海海洋大学,2018,软件工程,50969,522.00,542.00,534.00
上海海洋大学,2018,计算机科学与技术,49360,524.00,556.00,538.00
上海第二工业大学,2016,计算机科学与技术,73713,499,507,503
上海海事大学,2015,电子信息类,--,579,581,580
上海海事大学,2015,计算机类,--,580,580,580
上海海事大学,2017,电子信息类,47827,505,517,510
上海海事大学,2017,计算机类,47827,505,525,513
上海海事大学,2018,计算机类,47070,527.00,542.00,--
上海海事大学,2018,电子信息类,47797,526.00,532.00,--
上海应用技术大学,2015,计算机类,--,568,588,574
上海应用技术大学,2016,计算机类,68533,502,507,506
上海应用技术大学,2017,计算机类（含计算机科学与技术、软件工程、网络工程专业）,--,484,--,--
上海电力大学,2015,自动化,--,574,578,576
上海电力大学,2015,计算机科学与技术,--,575,575,575
上海电力大学,2015,软件工程,--,573,580,576
上海电力大学,2016,自动化,--,--,--,519
上海电力大学,2016,软件工程,--,--,--,514
上海电力大学,2017,自动化,--,506,--,--
上海电力大学,2017,软件工程,--,496,--,--
上海电力大学,2018,自动化,31030,550.00,550.00,550.00
上海电力大学,2018,软件工程,47070,527.00,527.00,527.00
上海立信会计金融学院,2016,计算机科学与技术（金融信息技术）,53843,517,518,518
上海立信会计金融学院,2016,计算机科学与技术,--,--,--,518
上海立信会计金融学院,2017,计算机科学与技术（金融信息技术）,60623,494,501,498
安徽建筑大学,2015,电子信息类,--,552,553,552
安徽建筑大学,2016,电子信息类,--,--,--,484
上海杉达学院,2015,计算机科学与技术,--,504,509,506
上海杉达学院,2016,计算机科学与技术,158554,428,441,432
上海杉达学院,2016,软件工程,126887,454,467,461
上海杉达学院,2017,软件工程,134711,424,440,434
上海杉达学院,2017,计算机科学与技术,140437,419,448,433
上海杉达学院,2018,计算机科学与技术,132522,440.00,--,--
上海杉达学院,2018,软件工程,107424,463.00,--,--
西安交通大学,2015,电子信息类,--,649,656,652
西安交通大学,2015,自动化类,--,652,652,652
西安交通大学,2016,计算机类[分流专业：计算机科学与技术、物联网工程],3782,617,623,620
西安交通大学,2016,软件工程[分流专业：软件工程],4615,610,612,611
西安交通大学,2016,自动化类[分流专业：自动化],3053,622,627,625
西安交通大学,2016,电子信息类[分流专业：电子科学与技术、微电子科学与技术、信息工程],3053,620,621,621
西安交通大学,2016,软件工程,--,--,--,611
西安交通大学,2017,电子信息类,4305,600,601,601
西安交通大学,2017,自动化类,2902,613,615,614
西安交通大学,2017,软件工程,6099,592,593,593
西安交通大学,2017,计算机类,4305,603,614,609
陕西师范大学,2015,软件工程,--,579,597,586
陕西师范大学,2016,计算机科学与技术,30264,548,554,551
陕西师范大学,2016,计算机类,37185,535,560,542
陕西师范大学,2017,计算机科学与技术（师范）,24305,541,541,541
陕西师范大学,2017,计算机类,36545,524,531,527
陕西师范大学,2018,计算机类,30367,551.00,558.00,553.54
安徽财经大学,2017,计算机类,70132,481,481,481
延安大学,2015,计算机科学与技术,--,525,540,532
合肥学院,2016,自动化,--,--,--,468
合肥学院,2016,软件工程,--,--,--,468
合肥学院,2017,软件工程,--,446,--,--
合肥学院,2017,自动化,--,446,--,--
昆明理工大学,2015,电子信息类,--,571,572,572
昆明理工大学,2016,电子信息类,--,--,--,517
昆明理工大学,2017,电子信息类（含电子信息科学与技术、电子科学与技术）,--,485,--,--
昆明理工大学,2018,电子信息类,59317,512.00,519.00,514.00
西安理工大学,2015,计算机科学与技术,--,580,580,--
西安理工大学,2016,计算机科学与技术,49407,523,524,524
西安理工大学,2017,计算机科学与技术,47827,509,511,510
西安理工大学,2018,计算机科学与技术,41882,534.00,535.00,535.00
玉溪师范学院,2016,计算机科学与技术,158554,425,431,428
玉溪师范学院,2017,计算机科学与技术,134711,421,430,426
西安建筑科技大学,2018,计算机科学与技术（中外合作办学）,60188,511.00,520.00,516.00
西安科技大学,2015,自动化,--,570,572,571
西安科技大学,2016,自动化,73713,497,507,502
西安科技大学,2016,计算机类,63502,509,512,510
西安科技大学,2017,自动化,79870,470,474,472
西安科技大学,2017,计算机类,79870,474,481,477
西安科技大学,2017,电子信息类,79870,472,475,474
西安科技大学,2018,计算机科学与技术,69264,501.00,503.00,502.00
西安科技大学,2018,自动化,71085,499.00,499.00,499.00
西安石油大学,2015,软件工程,--,553,553,553
西安石油大学,2016,计算机类,--,--,--,489
西安石油大学,2017,计算机类,90122,461,463,462
西安石油大学,2018,计算机类,85479,484.00,488.00,486.00
红河学院,2017,计算机科学与技术,128923,426,427,426
云南财经大学,2017,计算机科学与技术,74935,476,477,476
陕西科技大学,2016,电子信息类,--,--,--,517
陕西科技大学,2017,电子信息类,60623,492,497,495
陕西科技大学,2018,电子信息类,60188,511.00,511.00,511.00
西安工程大学,2017,计算机科学与技术（卓越班）,95539,459,465,462
西安邮电大学,2015,电子信息类,--,566,570,568
西安邮电大学,2015,自动化,--,568,571,570
西安邮电大学,2015,计算机科学与技术,--,572,574,573
西安邮电大学,2015,软件工程,--,572,577,574
西安邮电大学,2016,自动化,--,--,--,497
西安邮电大学,2016,软件工程,--,--,--,502
西安邮电大学,2016,电子信息类（中外合作办学）,--,--,--,500
西安邮电大学,2017,自动化,74935,476,--,--
西安邮电大学,2017,计算机科学与技术,65332,485,--,--
西安邮电大学,2017,软件工程,70132,483,--,--
西安邮电大学,2018,计算机科学与技术,54228,518.00,518.00,518.00
西安邮电大学,2018,自动化,66431,504.00,504.00,504.00
咸阳师范学院,2015,软件工程,--,525,529,527
咸阳师范学院,2016,计算机科学与技术,133142,449,449,449
咸阳师范学院,2017,计算机科学与技术,128923,425,427,426
青海大学,2016,计算机科学与技术,--,--,--,514
青海大学,2017,计算机科学与技术,51932,504,507,506
青海大学,2018,自动化,59317,512.00,--,--
青海大学,2018,计算机科学与技术,42626,533.00,--,--
宝鸡文理学院,2015,自动化类,--,523,523,523
青海民族大学,2016,计算机科学与技术,183366,406,489,426
青海民族大学,2018,电子信息类,--,--,--,357.00
青海民族大学,2018,计算机类,--,--,--,414.00
北华大学,2015,软件工程,--,537,537,537
北华大学,2016,软件工程,--,--,--,466
北华大学,2017,软件工程,106358,446,463,454
西安财经大学,2016,计算机类,--,--,--,484
西安财经大学,2017,计算机类,90122,460,--,--
长春大学,2015,计算机科学与技术,--,530,--,--
长春大学,2015,软件工程,--,535,--,--
长春大学,2016,软件工程,108205,469,--,--
长春大学,2016,计算机科学与技术,108205,467,--,--
长春大学,2017,计算机科学与技术,111947,443,--,--
长春大学,2017,软件工程,106358,448,--,--
长春大学,2018,自动化（自动化类中外合作办学）,116039,455.00,--,--
